Tumor_Sample_Barcode	Amp	Del	total
TCGA-RG-A7D4	660	2969	3629
TCGA-G3-AAV1	664	2877	3541
TCGA-G3-A25S	363	3170	3533
TCGA-UB-A7MF	467	2982	3449
TCGA-DD-A39X	410	3012	3422
TCGA-CC-A9FU	670	2635	3305
TCGA-DD-AAEK	672	2617	3289
TCGA-DD-A11A	641	2643	3284
TCGA-DD-A1EJ	551	2695	3246
TCGA-DD-A4NI	324	2783	3107
TCGA-BC-A217	573	2524	3097
TCGA-BC-A112	291	2771	3062
TCGA-DD-A39Y	689	2366	3055
TCGA-ED-A459	297	2748	3045
TCGA-2Y-A9H2	527	2517	3044
TCGA-DD-AACB	710	2292	3002
TCGA-ED-A8O6	521	2377	2898
TCGA-CC-A7IL	467	2416	2883
TCGA-DD-AACZ	403	2476	2879
TCGA-DD-A1EG	647	2216	2863
TCGA-RC-A7SK	389	2462	2851
TCGA-DD-A113	572	2231	2803
TCGA-DD-A4NJ	415	2388	2803
TCGA-BC-A69H	465	2335	2800
TCGA-2Y-A9GS	381	2417	2798
TCGA-CC-A3MC	468	2330	2798
TCGA-WQ-AB4B	402	2393	2795
TCGA-DD-AAD5	501	2289	2790
TCGA-FV-A496	477	2295	2772
TCGA-FV-A4ZP	158	2612	2770
TCGA-CC-A7IG	695	2073	2768
TCGA-BW-A5NQ	399	2354	2753
TCGA-CC-A5UD	119	2612	2731
TCGA-BW-A5NP	694	2035	2729
TCGA-EP-A2KC	551	2147	2698
TCGA-DD-AACP	493	2136	2629
TCGA-MI-A75G	516	2106	2622
TCGA-DD-AACO	554	2063	2617
TCGA-FV-A2QQ	376	2234	2610
TCGA-KR-A7K2	666	1942	2608
TCGA-2Y-A9H3	324	2283	2607
TCGA-DD-A1EL	489	2109	2598
TCGA-DD-AADO	620	1958	2578
TCGA-DD-AADV	462	2105	2567
TCGA-DD-A3A9	366	2188	2554
TCGA-DD-AACE	471	2077	2548
TCGA-5C-A9VG	405	2142	2547
TCGA-DD-A4NO	408	2113	2521
TCGA-3K-AAZ8	430	2084	2514
TCGA-UB-A7MC	576	1924	2500
TCGA-ED-A7PZ	542	1909	2451
TCGA-DD-A1EF	468	1979	2447
TCGA-CC-A7IF	511	1931	2442
TCGA-CC-A5UE	614	1821	2435
TCGA-ED-A7PX	1	2428	2429
TCGA-DD-AAE8	507	1920	2427
TCGA-DD-A4NN	470	1954	2424
TCGA-RC-A6M6	250	2165	2415
TCGA-CC-A8HV	372	2027	2399
TCGA-FV-A3I0	407	1963	2370
TCGA-CC-5261	667	1673	2340
TCGA-KR-A7K7	361	1979	2340
TCGA-UB-A7ME	564	1770	2334
TCGA-DD-AAD8	186	2140	2326
TCGA-G3-A7M5	111	2202	2313
TCGA-EP-A2KB	503	1809	2312
TCGA-DD-AACU	177	2108	2285
TCGA-RC-A7SH	285	1984	2269
TCGA-DD-AADD	592	1658	2250
TCGA-DD-A11C	332	1917	2249
TCGA-T1-A6J8	185	2064	2249
TCGA-CC-5264	507	1739	2246
TCGA-DD-A119	495	1750	2245
TCGA-DD-AAVQ	383	1862	2245
TCGA-CC-A7IK	410	1821	2231
TCGA-CC-5258	308	1922	2230
TCGA-CC-A7IJ	133	2089	2222
TCGA-CC-A3MB	310	1909	2219
TCGA-WX-AA44	568	1648	2216
TCGA-G3-A7M9	271	1943	2214
TCGA-DD-AAED	290	1923	2213
TCGA-DD-AAVV	475	1728	2203
TCGA-DD-AADL	383	1802	2185
TCGA-UB-A7MA	717	1452	2169
TCGA-CC-A3MA	579	1562	2141
TCGA-CC-A9FW	434	1688	2122
TCGA-BC-A5W4	187	1932	2119
TCGA-G3-AAV7	396	1716	2112
TCGA-DD-AAVW	568	1542	2110
TCGA-DD-AADB	122	1967	2089
TCGA-UB-AA0U	665	1414	2079
TCGA-BC-A10Q	338	1730	2068
TCGA-DD-AAVZ	285	1783	2068
TCGA-DD-AAVU	115	1944	2059
TCGA-BC-A3KF	433	1601	2034
TCGA-DD-AAE0	693	1341	2034
TCGA-G3-A5SI	486	1539	2025
TCGA-ZS-A9CE	182	1834	2016
TCGA-DD-AADF	566	1447	2013
TCGA-G3-AAV6	688	1313	2001
TCGA-PD-A5DF	400	1599	1999
TCGA-ED-A66X	535	1456	1991
TCGA-G3-A25X	480	1495	1975
TCGA-NI-A8LF	407	1526	1933
TCGA-5C-A9VH	365	1566	1931
TCGA-5C-AAPD	178	1753	1931
TCGA-RC-A6M4	472	1440	1912
TCGA-ED-A7XP	299	1596	1895
TCGA-ED-A7XO	267	1619	1886
TCGA-RC-A6M3	395	1471	1866
TCGA-DD-AAC8	467	1396	1863
TCGA-DD-AAE6	602	1258	1860
TCGA-BW-A5NO	501	1354	1855
TCGA-2Y-A9H8	476	1378	1854
TCGA-YA-A8S7	295	1557	1852
TCGA-CC-A7II	297	1538	1835
TCGA-CC-5260	34	1796	1830
TCGA-GJ-A6C0	8	1818	1826
TCGA-FV-A3I1	295	1518	1813
TCGA-UB-A7MB	195	1616	1811
TCGA-ZS-A9CF	111	1698	1809
TCGA-ZP-A9CZ	384	1420	1804
TCGA-BC-A10U	485	1313	1798
TCGA-ED-A7PY	572	1223	1795
TCGA-WQ-A9G7	574	1220	1794
TCGA-DD-A1EI	128	1656	1784
TCGA-DD-AACN	376	1399	1775
TCGA-2Y-A9H5	378	1392	1770
TCGA-BC-A10R	375	1395	1770
TCGA-ED-A97K	107	1658	1765
TCGA-DD-AADY	179	1580	1759
TCGA-RC-A7SB	2	1753	1755
TCGA-DD-A4NA	180	1572	1752
TCGA-ZP-A9D2	190	1558	1748
TCGA-RC-A6M5	1	1746	1747
TCGA-DD-AADC	302	1442	1744
TCGA-GJ-A3OU	292	1451	1743
TCGA-CC-A8HU	561	1181	1742
TCGA-DD-AAD3	276	1460	1736
TCGA-G3-A5SM	278	1456	1734
TCGA-DD-A73B	4	1720	1724
TCGA-CC-A7IE	779	941	1720
TCGA-DD-AACV	292	1426	1718
TCGA-CC-A1HT	119	1593	1712
TCGA-DD-AACG	124	1585	1709
TCGA-ED-A82E	482	1224	1706
TCGA-DD-AADR	331	1368	1699
TCGA-CC-A3M9	430	1257	1687
TCGA-DD-A116	122	1556	1678
TCGA-2Y-A9GY	307	1368	1675
TCGA-DD-AAD6	194	1474	1668
TCGA-DD-AADW	650	1016	1666
TCGA-CC-A5UC	379	1263	1642
TCGA-DD-A4NQ	289	1334	1623
TCGA-DD-A73G	524	1085	1609
TCGA-QA-A7B7	184	1403	1587
TCGA-DD-AAW0	287	1295	1582
TCGA-XR-A8TF	361	1219	1580
TCGA-XR-A8TD	360	1219	1579
TCGA-G3-A25Y	299	1278	1577
TCGA-DD-A114	379	1184	1563
TCGA-DD-AACL	185	1377	1562
TCGA-BC-A10T	302	1259	1561
TCGA-DD-AACS	472	1081	1553
TCGA-BC-A10Y	294	1252	1546
