Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR3916	536	0	536	268
OC90	462	0	462	231
SHPK	0	452	452	226
ABCG2	0	344	344	178
AFF1	0	344	344	178
ATOH1	0	344	344	178
CCSER1	0	344	344	178
DMP1	0	344	344	178
DSPP	0	344	344	178
FAM13A	0	344	344	178
GPRIN3	0	344	344	178
GRID2	0	344	344	178
HERC3	0	344	344	178
HERC5	0	344	344	178
HERC6	0	344	344	178
HPGDS	0	344	344	178
HSD17B11	0	344	344	178
HSD17B13	0	344	344	178
IBSP	0	344	344	178
KLHL8	0	344	344	178
MEPE	0	344	344	178
MIR5705	0	344	344	178
MMRN1	0	344	344	178
NAP1L5	0	344	344	178
NUDT9	0	344	344	178
PIGY	0	344	344	178
PKD2	0	344	344	178
PPM1K	0	344	344	178
PYURF	0	344	344	178
RN7SKP244	0	344	344	178
RN7SKP248	0	344	344	178
RN7SL681P	0	344	344	178
RNA5SP164	0	344	344	178
RNU6ATAC31P	0	344	344	178
SMARCAD1	0	344	344	178
SNCA	0	344	344	178
SPARCL1	0	344	344	178
SPP1	0	344	344	178
TIGD2	0	344	344	178
FAM47E	0	342	342	171
UGT2A1	0	342	342	171
CTSS	271	0	271	271
GOLPH3L	271	0	271	271
HORMAD1	271	0	271	271
ABCB10	268	0	268	268
ACTA1	268	0	268	268
ACTN2	268	0	268	268
ADSS	268	0	268	268
AGT	268	0	268	268
AHCTF1	268	0	268	268
AKT3	268	0	268	268
ARID4B	268	0	268	268
ARV1	268	0	268	268
B3GALNT2	268	0	268	268
C1orf100	268	0	268	268
C1orf101	268	0	268	268
C1orf131	268	0	268	268
C1orf198	268	0	268	268
C1orf229	268	0	268	268
CAPN9	268	0	268	268
CCSAP	268	0	268	268
CEP170	268	0	268	268
CHML	268	0	268	268
CHRM3	268	0	268	268
CNST	268	0	268	268
COA6	268	0	268	268
COG2	268	0	268	268
COX20	268	0	268	268
DESI2	268	0	268	268
DISC1	268	0	268	268
EDARADD	268	0	268	268
EFCAB2	268	0	268	268
EGLN1	268	0	268	268
ERO1LB	268	0	268	268
EXO1	268	0	268	268
EXOC8	268	0	268	268
FAM89A	268	0	268	268
FH	268	0	268	268
FMN2	268	0	268	268
GALNT2	268	0	268	268
GCSAML	268	0	268	268
GGPS1	268	0	268	268
GNG4	268	0	268	268
GNPAT	268	0	268	268
GPR137B	268	0	268	268
GREM2	268	0	268	268
HEATR1	268	0	268	268
HNRNPU	268	0	268	268
IRF2BP2	268	0	268	268
KCNK1	268	0	268	268
KIF26B	268	0	268	268
KMO	268	0	268	268
LGALS8	268	0	268	268
LINC00184	268	0	268	268
LINC00582	268	0	268	268
LYPD8	268	0	268	268
LYST	268	0	268	268
MAP10	268	0	268	268
MAP1LC3C	268	0	268	268
MIR1182	268	0	268	268
MIR1537	268	0	268	268
MIR3123	268	0	268	268
MIR3124	268	0	268	268
MIR4427	268	0	268	268
MIR4428	268	0	268	268
MIR4671	268	0	268	268
MIR4677	268	0	268	268
MIR4753	268	0	268	268
MLK4	268	0	268	268
MT1HL1	268	0	268	268
MTR	268	0	268	268
MTRNR2L11	268	0	268	268
NID1	268	0	268	268
NLRP3	268	0	268	268
NTPCR	268	0	268	268
NUP133	268	0	268	268
OPN3	268	0	268	268
OR11L1	268	0	268	268
OR13G1	268	0	268	268
OR14A16	268	0	268	268
OR14A2	268	0	268	268
OR14C36	268	0	268	268
OR14I1	268	0	268	268
OR14K1	268	0	268	268
OR1C1	268	0	268	268
OR2AJ1	268	0	268	268
OR2AK2	268	0	268	268
OR2B11	268	0	268	268
OR2C3	268	0	268	268
OR2G2	268	0	268	268
OR2G3	268	0	268	268
OR2G6	268	0	268	268
OR2L13	268	0	268	268
OR2L2	268	0	268	268
OR2L3	268	0	268	268
OR2L5	268	0	268	268
OR2L8	268	0	268	268
OR2M2	268	0	268	268
OR2M3	268	0	268	268
OR2M4	268	0	268	268
OR2M5	268	0	268	268
OR2M7	268	0	268	268
OR2T1	268	0	268	268
OR2T10	268	0	268	268
OR2T11	268	0	268	268
OR2T12	268	0	268	268
OR2T2	268	0	268	268
OR2T27	268	0	268	268
OR2T29	268	0	268	268
OR2T3	268	0	268	268
OR2T33	268	0	268	268
OR2T34	268	0	268	268
OR2T35	268	0	268	268
OR2T4	268	0	268	268
OR2T5	268	0	268	268
OR2T6	268	0	268	268
OR2T7	268	0	268	268
OR2T8	268	0	268	268
OR2W3	268	0	268	268
OR2W5	268	0	268	268
OR6F1	268	0	268	268
PCNXL2	268	0	268	268
PGBD2	268	0	268	268
PGBD5	268	0	268	268
PLD5	268	0	268	268
RAB4A	268	0	268	268
RBM34	268	0	268	268
RGS7	268	0	268	268
RHOU	268	0	268	268
RN7SKP12	268	0	268	268
RN7SKP195	268	0	268	268
RN7SKP276	268	0	268	268
RN7SKP55	268	0	268	268
RN7SL148P	268	0	268	268
RN7SL299P	268	0	268	268
RN7SL467P	268	0	268	268
RN7SL668P	268	0	268	268
RN7SL837P	268	0	268	268
RNA5SP78	268	0	268	268
RNA5SP79	268	0	268	268
RNA5SP80	268	0	268	268
RNA5SP81	268	0	268	268
RNA5SP82	268	0	268	268
RNY4P16	268	0	268	268
RYR2	268	0	268	268
SCCPDH	268	0	268	268
SDCCAG8	268	0	268	268
SH3BP5L	268	0	268	268
SIPA1L2	268	0	268	268
SLC35F3	268	0	268	268
SMYD3	268	0	268	268
SNORA14B	268	0	268	268
SPHAR	268	0	268	268
SPRTN	268	0	268	268
TAF5L	268	0	268	268
TARBP1	268	0	268	268
TBCE	268	0	268	268
TFB2M	268	0	268	268
TMEM78	268	0	268	268
TOMM20	268	0	268	268
TRAX	268	0	268	268
TRIM58	268	0	268	268
TRIM67	268	0	268	268
TSNAX	268	0	268	268
TTC13	268	0	268	268
URB2	268	0	268	268
WDR64	268	0	268	268
ZBTB18	268	0	268	268
ZNF124	268	0	268	268
ZNF496	268	0	268	268
ZNF669	268	0	268	268
ZNF670	268	0	268	268
ZNF672	268	0	268	268
ZNF692	268	0	268	268
ZNF695	268	0	268	268
ZP4	268	0	268	268
CRIP1	0	266	266	133
RN7SL872P	0	247	247	247
RNA5SP251	0	247	247	247
NRG1	0	242	242	242
RNA5SP261	0	242	242	242
RNA5SP262	0	242	242	242
RNA5SP263	0	242	242	242
LCN6	0	238	238	119
AARD	231	0	231	231
ADCY8	231	0	231	231
ANXA13	231	0	231	231
ASAP1	231	0	231	231
ATAD2	231	0	231	231
C8orf76	231	0	231	231
CASC8	231	0	231	231
CCAT1	231	0	231	231
CCDC26	231	0	231	231
COL14A1	231	0	231	231
COL22A1	231	0	231	231
COLEC10	231	0	231	231
CSMD3	231	0	231	231
DEPTOR	231	0	231	231
DERL1	231	0	231	231
DSCC1	231	0	231	231
EFR3A	231	0	231	231
EIF3H	231	0	231	231
ENPP2	231	0	231	231
EXT1	231	0	231	231
FAM135B	231	0	231	231
FAM49B	231	0	231	231
FAM83A	231	0	231	231
FAM84B	231	0	231	231
FAM91A1	231	0	231	231
FBXO32	231	0	231	231
FER1L6	231	0	231	231
GSDMC	231	0	231	231
HAS2	231	0	231	231
HHLA1	231	0	231	231
HPYR1	231	0	231	231
KCNQ3	231	0	231	231
KHDRBS3	231	0	231	231
KIAA0196	231	0	231	231
KLHL38	231	0	231	231
LINC00536	231	0	231	231
LINC00861	231	0	231	231
LINC00964	231	0	231	231
LINC00977	231	0	231	231
LRRC6	231	0	231	231
MAL2	231	0	231	231
MED30	231	0	231	231
MIR1205	231	0	231	231
MIR1207	231	0	231	231
MIR1208	231	0	231	231
MIR2053	231	0	231	231
MIR30B	231	0	231	231
MIR30D	231	0	231	231
MIR3610	231	0	231	231
MIR3686	231	0	231	231
MIR4662B	231	0	231	231
MIR4663	231	0	231	231
MIR5194	231	0	231	231
MIR548AA1	231	0	231	231
MRPL13	231	0	231	231
MTBP	231	0	231	231
MTSS1	231	0	231	231
MYC	231	0	231	231
NDRG1	231	0	231	231
NDUFB9	231	0	231	231
NOV	231	0	231	231
NSMCE2	231	0	231	231
PCAT1	231	0	231	231
PCAT2	231	0	231	231
PHF20L1	231	0	231	231
POU5F1B	231	0	231	231
PVT1	231	0	231	231
RAD21	231	0	231	231
RN7SKP153	231	0	231	231
RN7SKP155	231	0	231	231
RN7SKP206	231	0	231	231
RN7SKP226	231	0	231	231
RN7SL228P	231	0	231	231
RN7SL329P	231	0	231	231
RN7SL396P	231	0	231	231
