Unique_Name	nGenes	nSamples	Variant_Classification	Cytoband	Wide_Peak_Limits	qvalues
DP_22:13q14.2	2	179	Del	13q14.2	chr13:48875329-49064807	2.2515e-37
DP_1:1p36.31	115	162	Del	1p36.31	chr1:1-6847369	1.1606e-33
AP_17:11q13.3	2	57	Amp	11q13.3	chr11:69448576-69490737	3.4149e-29
AP_1:1q21.3	3	271	Amp	1q21.3	chr1:150637495-150740723	2.0728e-24
DP_9:4q35.1	5	172	Del	4q35.1	chr4:185200319-185674312	1.8058e-23
DP_14:9p21.3	2	150	Del	9p21.3	chr9:21931610-22003135	3.0821e-22
AP_14:8q24.21	106	231	Amp	8q24.21	chr8:113630879-139984811	1.1795e-21
DP_2:1p36.11	272	142	Del	1p36.11	chr1:16785565-33285595	1.6679e-20
DP_12:8p23.2	2	247	Del	8p23.2	chr8:3548028-4251283	2.1187e-19
DP_10:6q27	4	136	Del	6q27	chr6:169649200-170153593	3.4191e-15
AP_10:6p21.1	1	158	Amp	6p21.1	chr6:43733839-43828640	9.4799e-15
AP_22:17q25.3	7	145	Amp	17q25.3	chr17:79191727-79389250	1.3152e-14
AP_5:3q26.31	1	77	Amp	3q26.31	chr3:172266022-172285491	6.7256e-11
AP_7:5p15.33	6	163	Amp	5p15.33	chr5:981020-1300024	1.099e-10
AP_19:13q33.3	148	67	Amp	13q33.3	chr13:89392414-115169878	2.2054e-10
DP_27:17p13.1	252	226	Del	17p13.1	chr17:1-10358937	3.9592e-10
AP_18:13q32.3	44	67	Amp	13q32.3	chr13:98177502-104617917	6.8193e-10
DP_16:10q23.31	2	97	Del	10q23.31	chr10:89617158-89755074	2.1093e-09
AP_2:1q42.2	173	268	Amp	1q42.2	chr1:228801039-249250621	4.3428e-09
DP_30:19p13.3	177	87	Del	19p13.3	chr19:1-5455610	4.7028e-08
DP_24:14q32.33	190	133	Del	14q32.33	chr14:95113281-107349540	8.4799e-08
DP_23:14q23.3	1	131	Del	14q23.3	chr14:66963153-67658112	9.195e-08
DP_7:4q21.3	192	171	Del	4q21.3	chr4:66534835-95376252	3.0903e-07
DP_8:4q24	131	173	Del	4q24	chr4:87847398-115525698	7.0927e-07
DP_3:2q22.1	2	52	Del	2q22.1	chr2:140708948-143637838	7.7465e-07
DP_17:10q26.13	189	105	Del	10q26.13	chr10:105613884-135534747	5.7505e-06
DP_26:16q23.1	3	162	Del	16q23.1	chr16:78098006-79299841	7.8009e-06
AP_9:6p25.2	90	159	Amp	6p25.2	chr6:1-14122151	1.013e-05
DP_21:12q24.33	105	59	Del	12q24.33	chr12:122439370-133851895	2.3723e-05
DP_5:3p13	2	73	Del	3p13	chr3:70016017-71729299	6.4295e-05
DP_28:17p11.2	3	195	Del	17p11.2	chr17:15923099-16246015	0.0001026
AP_13:7q31.2	4	120	Amp	7q31.2	chr7:116229470-116662814	0.00018251
AP_11:6q12	1	109	Amp	6q12	chr6:64045972-64315938	0.00019738
DP_19:11q23.3	291	93	Del	11q23.3	chr11:102825636-135006516	0.00030497
AP_8:5q35.3	2	135	Amp	5q35.3	chr5:178716390-178940592	0.00031067
DP_13:8p12	4	242	Del	8p12	chr8:31454518-33231036	0.00033726
AP_3:2p24.1	1	65	Amp	2p24.1	chr2:20342502-20365874	0.00067861
DP_20:12p12.1	2	78	Del	12p12.1	chr12:22837283-24365820	0.0008113
DP_4:2q37.3	72	62	Del	2q37.3	chr2:234985548-243199373	0.0022356
DP_18:11q14.1	2	77	Del	11q14.1	chr11:82995735-85348794	0.0030474
AP_25:20q13.13	1	124	Amp	20q13.13	chr20:49017144-49057135	0.0037169
AP_23:19p13.12	7	69	Amp	19p13.12	chr19:15361827-15600481	0.0089034
AP_20:15q26.3	28	54	Amp	15q26.3	chr15:100146665-102531392	0.010217
AP_27:Xq28	99	87	Amp	Xq28	chrX:151745184-154883395	0.011319
AP_24:19q13.11	1	91	Amp	19q13.11	chr19:33723706-33837231	0.012082
AP_15:9q34.2	1	47	Amp	9q34.2	chr9:137137096-137208596	0.01251
AP_26:20q13.33	76	128	Amp	20q13.33	chr20:60328006-63025520	0.013414
AP_4:2q33.1	1	64	Amp	2q33.1	chr2:201547244-201576134	0.016453
DP_29:18q21.2	164	94	Del	18q21.2	chr18:40857296-78077248	0.019373
AP_6:4p14	7	54	Amp	4p14	chr4:39327941-39571500	0.0362
DP_31:20p12.1	4	29	Del	20p12.1	chr20:13964029-16252980	0.051716
DP_33:22q13.32	84	83	Del	22q13.32	chr22:44205320-51304566	0.05307
DP_25:15q26.3	111	79	Del	15q26.3	chr15:87570102-102531392	0.056724
DP_32:22q12.1	3	79	Del	22q12.1	chr22:28314430-29085838	0.095859
DP_34:Xq26.2	7	67	Del	Xq26.2	chrX:132542482-133309860	0.12335
DP_15:9q31.3	562	119	Del	9q31.3	chr9:93403988-141213431	0.12467
AP_21:17p11.2	23	46	Amp	17p11.2	chr17:18859019-20253412	0.1412
DP_6:4p16.3	200	85	Del	4p16.3	chr4:1-30734965	0.14149
AP_16:10p15.1	3	72	Amp	10p15.1	chr10:5008384-5101925	0.22261
DP_11:7q36.3	493	34	Del	7q36.3	chr7:99583749-159138663	0.24831
